City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
430,zyryanskoye,56.8306,86.6258,17.85,94,99,2.36,RU,1721855032
431,delmar,42.622,-73.8326,27.9,77,100,0.89,US,1721855033
432,aioun,16.6614,-9.6149,33.66,46,30,1.66,MR,1721855034
433,baise city,23.8997,106.6133,27.97,99,74,1.39,CN,1721855035
434,makariv,50.4641,29.8113,22.32,64,43,3.03,UA,1721855037
435,kokpekty,48.75,82.4,22.24,54,100,0.98,KZ,1721855038
436,papao,-17.75,-149.55,25.82,73,1,6.83,PF,1721855039
437,bodo,67.28,14.405,14.97,79,40,2.06,NO,1721855040
438,isangel,-19.55,169.2667,20.21,88,100,1.38,VU,1721855041
439,aginskoye,51.1,114.53,18.54,84,100,2.26,RU,1721855043
440,kondoa,-4.9,35.7833,14.65,75,88,1.83,TZ,1721855044
441,fortuna,40.5982,-124.1573,18.88,72,20,6.69,US,1721855045
442,malango,-2.9627,119.9001,18.57,99,100,0.58,ID,1721855046
443,qaqortoq,60.7167,-46.0333,7.3,77,10,1.86,GL,1721854770
444,china,25.7,-99.2333,32.08,50,99,5.57,MX,1721855050
445,lompoc,34.6391,-120.4579,30.32,60,0,6.17,US,1721854945
446,san pablo huitzo,17.25,-96.8667,27.08,74,99,2.69,MX,1721855052
447,kangdong-up,39.1425,126.0961,23.36,96,100,1.5,KP,1721855053
448,syas'stroy,60.1367,32.5691,17.08,66,9,2.41,RU,1721855054
449,mahibadhoo,3.7833,72.9667,28.8,74,63,1.48,MV,1721855056
450,cabedelo,-6.9811,-34.8339,26.37,74,22,6.33,BR,1721854609
451,kurgan,55.45,65.3333,13.76,71,87,1.67,RU,1721855058
452,jackson,42.4165,-122.8345,35.03,26,0,2.06,US,1721855059
453,watsa,3.0372,29.5355,17.59,97,93,0.6,CD,1721855060
454,filadelfia,39.9523,-75.1638,27.96,80,75,4.12,US,1721854798
455,letcani,47.1833,27.4167,19.65,92,40,2.57,RO,1721855063
456,kurumkan,54.3,110.3,19.64,90,100,0.89,RU,1721855064
457,rajnagar,24.8833,79.9167,28.52,81,95,3.47,IN,1721855065
458,marquette,46.5333,-87.6335,20.43,63,73,1.79,US,1721855066
459,sidney,-33.8679,151.2073,12.28,76,100,3.41,AU,1721855033
460,tanjung selor,2.8372,117.3642,23.67,97,96,1.15,ID,1721855068
461,coquimbo,-29.9533,-71.3436,17.85,49,0,4.63,CL,1721855070
462,baklan,37.9769,29.6086,25.16,45,66,1.14,TR,1721855071
463,ciudad lazaro cardenas,17.9583,-102.2,28.99,71,100,3.2,MX,1721855072
464,talcahuano,-36.7167,-73.1167,12.82,82,75,2.57,CL,1721855073
465,eaglehawk,-36.7333,144.25,10.32,60,100,3.03,AU,1721855074
466,santa marta de ortigueira,43.6833,-7.85,19.58,100,90,0.45,ES,1721855076
467,new norfolk,-42.7826,147.0587,13.84,64,100,6.1,AU,1721855077
468,tindouf,27.6711,-8.1474,43.25,9,3,2.06,DZ,1721855078
469,alindao,5.0267,21.2088,22.45,91,58,1.1,CF,1721855080
470,taveta,-3.3963,37.6736,18.94,82,11,2.12,KE,1721855081
471,mar del plata,-38.0023,-57.5575,16.72,88,75,5.66,AR,1721855084
472,katsuren-haebaru,26.3369,127.8719,28.01,95,75,7.72,JP,1721855086
473,ringkobing,56.0901,8.244,14.99,72,75,4.63,DK,1721855087
474,howrah,22.5892,88.3103,29.0,89,75,0.0,IN,1721854627
475,yaring,6.8662,101.3689,25.78,85,98,2.18,TH,1721855091
476,viedma,-40.8135,-62.9967,9.18,73,54,7.08,AR,1721854819
